商品名,商品コード,商品ラベルID,SKUコード,マスターSKU商品の指定,単品・定期,ステータス,販売中,公開開始日,公開終了日,通常価格,販売価格,税率設定ID,詳細,詳細（モバイル）,規格名1,分類名1,規格名2,分類名2,規格名3,分類名3,送料の個別設定ID,支払い手数料の個別設定ID,同梱物,注文毎の購入制限数,購入数の下限,購入数の上限,顧客毎の購入制限数,未成年者の購入制限,未成年者の設定,同梱物の購入制限,ポイント交換,変更可能SKUグループID,原価,大きさ,会員ランク制御,注意喚起文（画面上部）,注意喚起文,支払い方法割引設定（支払い方法ID）,支払い方法割引設定（割引額）,支払い方法割引設定（割引率）,支払い方法割引設定（初回のみ）,詳細（サブ）,詳細（サブ、モバイル）,メタディスクリプション,メタキーワード,新着フラグ,セールフラグ,購入画面への表示,メール画面への表示,帳票への表示,メーカーID,カテゴリーID,商品画像,SKU商品画像1,SKU商品画像2,SKU商品画像3,SKU商品画像4,SKU商品画像5,定期お約束回数,配送サイクル,何ヶ月ごとの何日に配送,何日ごとに配送,何ヶ月ごとの何回目の何曜日に配送,選択可能間隔（日付・曜日）,選択可能間隔（間隔）,連携用商品番号,連携用SKU番号,自由入力1,自由入力2,自由入力3,自由入力4,自由入力5,自由入力6,自由入力7,自由入力8,自由入力9,自由入力10
自然農ナーベラ（食用ヘチマ）,product-v-033,,product-v-033,,0,inactive,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【残り僅か】農薬不使用！原矢じぃじの令和４年度徳島県産アキサカリ,product-v-034,,product-v-034,,0,active,1,,,3240,3240,,,,,,,,,,,,,,,,,,,,,,3240,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【残り僅か】令和４年度徳島県産農薬不使用コシヒカリ＊５?２３kg,product-v-035,,product-v-035,,0,active,1,,,2750,2750,,,,,,,,,,,,,,,,,,,,,,2750,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
チキンコンソメ,product-v-036,,product-v-036,,0,active,1,,,550,550,,,,,,,,,,,,,,,,,,,,,,550,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機肉豆腐の素,product-v-037,,product-v-037,,0,inactive,0,,,280,280,,,,,,,,,,,,,,,,,,,,,,280,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機青椒肉絲の素,product-v-038,,product-v-038,,0,active,1,,,280,280,,,,,,,,,,,,,,,,,,,,,,280,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機回鍋肉の素,product-v-039,,product-v-039,,0,active,1,,,280,280,,,,,,,,,,,,,,,,,,,,,,280,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機麻婆の素,product-v-040,,product-v-040,,0,active,1,,,280,280,,,,,,,,,,,,,,,,,,,,,,280,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機だしつゆ,product-v-041,,product-v-041,,0,active,1,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機ポン酢しょうゆ,product-v-042,,product-v-042,,0,active,1,,,450,450,,,,,,,,,,,,,,,,,,,,,,450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機うめしょうゆ　ノンオイルドレッシング,product-v-043,,product-v-043,,0,inactive,0,,,440,440,,,,,,,,,,,,,,,,,,,,,,440,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機青じそノンオイルドレッシング,product-v-044,,product-v-044,,0,inactive,0,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機胡麻ドレッシングタイプ,product-v-045,,product-v-045,,0,active,1,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機中濃ソース,product-v-046,,product-v-046,,0,active,1,,,480,480,,,,,,,,,,,,,,,,,,,,,,480,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機トマトケチャップ（チューブ）,product-v-047,,product-v-047,,0,active,1,,,440,440,,,,,,,,,,,,,,,,,,,,,,440,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機濃厚ソース,product-v-048,,product-v-048,,0,active,1,,,480,480,,,,,,,,,,,,,,,,,,,,,,480,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機ウスターソース,product-v-049,,product-v-049,,0,active,1,,,480,480,,,,,,,,,,,,,,,,,,,,,,480,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機めんつゆ,product-v-050,,product-v-050,,0,active,1,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農エゴマ＊２０枚,product-v-051,,product-v-051,,0,inactive,0,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農イタリア茄子セット,product-v-052,,product-v-052,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農翡翠（白）長茄子１?２本,product-v-053,,product-v-053,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農キャンディミント＊２０g,product-v-054,,product-v-054,,0,active,1,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農ビーツ,product-v-055,,product-v-055,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【今だけ】農薬不使用グリーンピース＊150g,product-v-056,,product-v-056,,0,inactive,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用赤じゃが,product-v-057,,product-v-057,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新品ダンボール,product-v-058,,product-v-058,,0,active,1,,,250,250,,,,,,,,,,,,,,,,,,,,,,250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【今だけ】農薬不使用スイートコーン『甘々娘』５kg（６月３０日（木）前後最終発送予定）,product-v-059,,product-v-059,,0,inactive,0,,,2700,2700,,,,,,,,,,,,,,,,,,,,,,2700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【残り僅か】新米特A米！令和４年度徳島県産農薬不使用アキサカリ＊５?２３kg,product-v-060,,product-v-060,,0,inactive,0,,,2550,2550,,,,,,,,,,,,,,,,,,,,,,2550,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農キムチ唐辛子（赤）,product-v-061,,product-v-061,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農ロメインレタス＊400g,product-v-062,,product-v-062,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物の王様♪南国ならではの“とろり”と軟らかくて美味しい！あんぽ柿（干し柿）専用の種がほとんど無い阿波御所柿,product-v-063,,product-v-063,,0,inactive,0,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,1500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【新米】山地の自然栽培！令和４年度徳島県産コシヒカリ＊５?２３kg,product-v-064,,product-v-064,,0,inactive,0,,,3400,3400,,,,,,,,,,,,,,,,,,,,,,3400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大粒葡萄,product-v-065,,product-v-065,,0,inactive,0,,,2500,2500,,,,,,,,,,,,,,,,,,,,,,2500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青ネギ（減農薬）,product-v-066,,product-v-066,,0,active,1,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農九条ネギ＊150g,product-v-067,,product-v-067,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手軽に乳酸菌。後発酵茶（阿波晩茶／１ヶ月発酵・２週間発酵）,product-v-068,,product-v-068,,0,active,1,,,2200,2200,,,,,,,,,,,,,,,,,,,,,,2200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農丸餅と美味しいお餅、真っ白杵付きのお餅,product-v-069,,product-v-069,,0,active,1,,,1620,1620,,,,,,,,,,,,,,,,,,,,,,1620,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【北室白扇・素麺】極太！半田手延べめん（5kg箱ご購入時は常温便送料をキャッシュバック！）,product-v-070,,product-v-070,,0,active,1,,,130,130,,,,,,,,,,,,,,,,,,,,,,130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美味しいとうふ（きぬごし）,product-v-071,,product-v-071,,0,active,1,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
おねだりミニトマト（減農薬・農薬不使用）＊180g?1kg、ドライ50g,product-v-072,,product-v-072,,0,inactive,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農ブロッコリーフ＊200g,product-v-073,,product-v-073,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キャベツ（農薬不使用・減農薬）,product-v-074,,product-v-074,,0,inactive,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用紫キャベツ＊約１kg前後,product-v-075,,product-v-075,,0,inactive,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
春キャベツ,product-v-076,,product-v-076,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白菜（減農薬）,product-v-077,,product-v-077,,0,inactive,0,,,450,450,,,,,,,,,,,,,,,,,,,,,,450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生たけのこ（農薬不使用）,product-v-078,,product-v-078,,0,inactive,0,,,750,750,,,,,,,,,,,,,,,,,,,,,,750,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
減農薬大根＊１本（1?1.5kg前後）,product-v-079,,product-v-079,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【新米】籾貯蔵の自然栽培！令和４年度徳島県産あけぼの＊５?２３kg,product-v-080,,product-v-080,,0,inactive,0,,,3690,3690,,,,,,,,,,,,,,,,,,,,,,3690,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然栽培白米甘酒＊1?,product-v-081,,product-v-081,,0,inactive,0,,,1400,1400,,,,,,,,,,,,,,,,,,,,,,1400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然栽培白米生米麹＊500g,product-v-082,,product-v-082,,0,inactive,0,,,750,750,,,,,,,,,,,,,,,,,,,,,,750,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度徳島県産自然農餅米＊1.5kg,product-v-083,,product-v-083,,0,active,1,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和元年度自然農古代米【紫黒米（モチ）さよむらさき】,product-v-084,,product-v-084,,0,inactive,0,,,864,864,,,,,,,,,,,,,,,,,,,,,,864,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
そば米,product-v-085,,product-v-085,,0,inactive,0,,,810,810,,,,,,,,,,,,,,,,,,,,,,810,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
濱さんとこのこだわり「秘蔵しょうゆ」☆360ml,product-v-086,,product-v-086,,0,inactive,0,,,980,980,,,,,,,,,,,,,,,,,,,,,,980,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生きた麹。無添加手づくり寒仕込み天然熟成醸造みそ☆750g,product-v-087,,product-v-087,,0,inactive,0,,,980,980,,,,,,,,,,,,,,,,,,,,,,980,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徳島の水！四國剣山天然水☆500ml,product-v-088,,product-v-088,,0,active,0,,,108,108,,,,,,,,,,,,,,,,,,,,,,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徳島の板こんにゃく,product-v-089,,product-v-089,,0,inactive,0,,,165,165,,,,,,,,,,,,,,,,,,,,,,165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無漂白モヤシ☆200g,product-v-090,,product-v-090,,0,active,0,,,54,54,,,,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徳島県吉野川のすじ青のり＊４g【単品時は送料200円に修正】,product-v-091,,product-v-091,,0,active,1,,,500,500,,,,,,,,,,,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【徳島県産小麦１００％】そうめん,product-v-092,,product-v-092,,0,active,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和歌山豆紀の納豆3パック,product-v-093,,product-v-093,,0,active,0,,,200,200,,,,,,,,,,,,,,,,,,,,,,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ツクヨミバジルソース,product-v-094,,product-v-094,,0,active,0,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原木椎茸,product-v-095,,product-v-095,,0,inactive,0,,,360,360,,,,,,,,,,,,,,,,,,,,,,360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
プリプリキクラゲ（農薬不使用）,product-v-096,,product-v-096,,0,inactive,0,,,360,360,,,,,,,,,,,,,,,,,,,,,,360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堀脇さんちのコリコリひらたけ＊150g,product-v-097,,product-v-097,,0,inactive,0,,,330,330,,,,,,,,,,,,,,,,,,,,,,330,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【賞味期限が近い為】じっくりコトコト煮た栗の渋皮煮,product-v-098,,product-v-098,,0,active,0,,,2000,2000,,,,,,,,,,,,,,,,,,,,,,2000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
栗,product-v-099,,product-v-099,,0,inactive,0,,,770,770,,,,,,,,,,,,,,,,,,,,,,770,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“とろり”と軟らかくて美味しい！種がほとんど無い阿波御所柿の干し柿３?４個,product-v-100,,product-v-100,,0,inactive,0,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イチジク,product-v-101,,product-v-101,,0,inactive,0,,,500,500,,,,,,,,,,,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キウイ（農薬不使用）,product-v-102,,product-v-102,,0,inactive,0,,,440,440,,,,,,,,,,,,,,,,,,,,,,440,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ブルーベリージャム,product-v-103,,product-v-103,,0,active,0,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,1500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【9月5日（土）最終発送】自然農ブルーベリー,product-v-104,,product-v-104,,0,active,0,,,500,500,,,,,,,,,,,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
デラウェア葡萄,product-v-105,,product-v-105,,0,active,0,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タカミレッドメロン１個,product-v-106,,product-v-106,,0,active,0,,,1080,1080,,,,,,,,,,,,,,,,,,,,,,1080,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【６月３０日（木）最終受注】吟子のタカミレッドメロン１箱５.５kg（３ヶ入１個約１.７５kg）,product-v-107,,product-v-107,,0,active,0,,,3600,3600,,,,,,,,,,,,,,,,,,,,,,3600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和フルーツ。柿,product-v-108,,product-v-108,,0,inactive,0,,,500,500,,,,,,,,,,,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梨（減農薬・自然農）＊600g?約１kg【ご注文時注意事項有】,product-v-109,,product-v-109,,0,inactive,0,,,850,850,,,,,,,,,,,,,,,,,,,,,,850,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用桃２個＊約300g【ご注文時注意事項有】,product-v-110,,product-v-110,,0,inactive,0,,,550,550,,,,,,,,,,,,,,,,,,,,,,550,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【注文時注意事項有】シャインマスカット＊約１.２kg【前倒し可能性有8月5日（金）最終発送】,product-v-111,,product-v-111,,0,inactive,0,,,3980,3980,,,,,,,,,,,,,,,,,,,,,,3980,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温州ミカン☆10kg（重量は多少変わる場合がございます。）,product-v-112,,product-v-112,,0,inactive,0,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
