Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / 日本,Status
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,10kg,,玄米,,,,5000.0,shopify,0,deny,manual,6400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,10kg,,精米,,,,5000.0,shopify,-17,deny,manual,6400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,10kg,,精米１分つき,,,,5000.0,shopify,-15,deny,manual,6400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,10kg,,精米３分つき,,,,5000.0,shopify,-16,deny,manual,6400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,10kg,,精米５分つき,,,,5000.0,shopify,-18,deny,manual,6400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,10kg,,精米８分つき,,,,5000.0,shopify,-18,deny,manual,6400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,10kg,,無洗米,,,,5000.0,shopify,-18,deny,manual,6400,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,23kg,,玄米,,,,5000.0,shopify,0,deny,manual,13800,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,23kg,,精米,,,,5000.0,shopify,0,deny,manual,13800,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,23kg,,精米１分つき,,,,5000.0,shopify,0,deny,manual,13800,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,23kg,,精米３分つき,,,,5000.0,shopify,0,deny,manual,13800,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,23kg,,精米５分つき,,,,5000.0,shopify,0,deny,manual,13800,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,23kg,,精米８分つき,,,,5000.0,shopify,0,deny,manual,13800,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
新米-山地の自然栽培-令和４年度徳島県産はるみ,,,,,,,,,23kg,,無洗米,,,,5000.0,shopify,0,deny,manual,13800,,true,true,,,,,,,,,,,,,,,,,,,,kg,,,,
注意事項を必ずご確認下さい-訳あり-令和４年度徳島県産農薬不使用餅米,【注意事項を必ずご確認下さい】★訳あり★令和４年度徳島県産農薬不使用餅米,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><meta charset=""utf-8""><span data-mce-fragment=""1"">備考：訳ありの為、割れと<meta charset=""utf-8"">斑点米（黒い斑点）が多々あります。</span></p>
<p data-mce-fragment=""1"">返金返品のご対応は致し兼ねますので</p>
<p data-mce-fragment=""1"">ご理解の上、ご購入をよろしくお願いいたしますm(_ _)m<br data-mce-fragment=""1""><span data-mce-fragment=""1""><br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1"">重量（目安）：1.5k<span data-mce-fragment=""1"">g</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">種別：農薬不使用</span></p>
<p data-mce-fragment=""1"">配送：常温便可</p>
<p data-mce-fragment=""1""><meta charset=""utf-8""><span data-mce-fragment=""1"">▽餅米/もち米</span></p>",阿波ツクヨミファーム,食品・飲料,お米・たまご,"",false,Title,Default Title,,,,,"",1500.0,,0,deny,manual,0,,true,true,"",,,,false,,,,,,,,,,,,,,,kg,,,true,draft
たむらの濃密マヨネーズ,たむらの濃密マヨネーズ,"<p data-mce-fragment=""1"">重量（目安）：内容量●g</p>
<p data-mce-fragment=""1"">製造元：たむらのたまご<br data-mce-fragment=""1""><br data-mce-fragment=""1"">配送：●</p>
<p data-mce-fragment=""1"">【新鮮野菜にも合う、濃ゆ～いマヨネーズ！】</p>
<p data-mce-fragment=""1"">真に身体によいたまご作りに情熱を燃やした作り手が、無薬剤処理・PHF飼料（収穫後の農薬不使用）・NON GMO（100%遺伝子組み換えなし）で丹精込めて作ったたまごをふんだんに使用したマヨネーズです！</p>
<p data-mce-fragment=""1"">お野菜にディップして食べれば、手がとまらなくなるかと思います！</p>
<p data-mce-fragment=""1"">【保存方法】</p>
<p data-mce-fragment=""1"">未開封時常温保存可、開封後は冷蔵庫で保存ください。</p>
<p data-mce-fragment=""1"">▽マヨネーズ</p>",阿波ツクヨミファーム,,"","",false,Title,Default Title,,,,,"",0.0,,0,deny,manual,0,,true,true,"",,,,false,,,,,,,,,,,,,,,g,,,true,draft
阿波すだち鶏-肉だんご,神山鶏　肉だんご,"<p data-mce-fragment=""1"">重量（目安）：内容量250g</p>
<p data-mce-fragment=""1"">製造元：イシイフーズ<br data-mce-fragment=""1""><br data-mce-fragment=""1"">配送：冷蔵便（クール便）指定の商品です。配送方法の選択時に「冷蔵便」をお選びください。</p>
<p data-mce-fragment=""1"">【全飼育期間に抗生物質・抗菌剤を使用していない健康な鶏のみを使用！】</p>
<p data-mce-fragment=""1"">この神山鶏の喜ばしい特徴をあげたらキリがありません！</p>
<p data-mce-fragment=""1"">・徳島県・吉野川流域の山間部で豊かな湧き水と新鮮な空気に包まれながら「平飼い」でのびのびと育っています！</p>
<p data-mce-fragment=""1""><span>・「植物性たんぱく原料のみを使用」し、動物性たんぱく再生飼料、魚粉を不使用！</span><br><span>・飼料に使われる</span><span>トウモロコシは分別生産管理を保証する「遺伝子組み換えなし（NON-GMO）」、大豆かすも遺伝子組み換えなし（NON-GMO）</span></p>
<p data-mce-fragment=""1""><span>・「収穫後農薬・消毒・殺菌消毒なし」（PHF=ポストハーベストフリー）</span></p>
<p data-mce-fragment=""1"">・育成環境や飼料にこだわることで、一般的な鶏より、脂質/カロリーが低く、たんぱく質が豊富なのも特徴です。</p>
<p data-mce-fragment=""1"">肉だんごの状態となっていますので、鍋やスープ、炒め物に入れるだけでＯＫ！</p>
<p data-mce-fragment=""1"">冷凍庫に常備しておけば、重宝すること間違いなしのおすすめ商品です！</p>
<p data-mce-fragment=""1"">【保存方法】</p>
<p data-mce-fragment=""1"">冷凍保存の商品となります。</p>
<p data-mce-fragment=""1"">▽とり肉/鶏肉/鳥肉/神山鶏/肉だんご</p>",阿波ツクヨミファーム,,"","",false,Title,Default Title,,,,,"",0.0,,0,deny,manual,0,,true,true,"",,,,false,,,,,,,,,,,,,,,g,,,true,draft
秘蔵しょうゆ,秘蔵しょうゆ,"<p>重量（目安）：総重量●g（内容量900ml）</p>
<p><span>賞味期限：製造から1年</span></p>
<p>製造元：濱醤油醸造場</p>
<p><span>配送：</span><span data-mce-fragment=""1"">夏季常温便可</span></p>
<p> <br></p>
<p><strong>【創業明治30年！稀少な国産無農薬大豆を杉樽で熟成させた極上醤油】</strong></p>
<p>なんと120年前の杉樽で作られたお醤油。</p>
<p>歴史ある蔵だからこそ存在する発酵菌がお醤油のうまみを引き出しています。</p>
<p>原材料は、大豆、小麦、食塩だけ。無添加ですので国産大豆本来のうまみを楽しめます。</p>
<p>この醤油をベースに、ポン酢やだし醤油にアレンジするも美味しいかと思います。</p>
<p><strong>【保存方法】</strong></p>
<p><span>冷暗所に保存してください。</span><br><span>開栓後は冷蔵庫で保存し、お早めにお召し上がりください。</span></p>
<p>▽しょうゆ/醤油</p>",阿波ツクヨミファーム,,"","",false,Title,Default Title,,,,,"",0.0,,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0515/4045/9679/products/355aeda053ca96c73e7fa2f0c1855aae.jpg?v=1661917445,1,,false,,,,,,,,,,,,,,,g,,,true,draft
有機キーマカレー,有機キーマカレー,"<p data-mce-fragment=""1"">重量（目安）：総重量145<span data-mce-fragment=""1"">g（内容量140g、1人前）</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">種別：有機JAS認定</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">賞味期限：1年6ヵ月</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">製造元：光食品株式会社</span></p>
<p data-mce-fragment=""1"">配送：<span data-mce-fragment=""1"">夏季常温便可</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">（製造元メーカーHPより掲載）</span></p>
<p data-mce-fragment=""1""><strong>【化学調味料不使用で北海道産有機牛肉と国産有機たまねぎ、にんじん、にんにく使用の有機キーマカレーです】</strong></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">●<span id=""red"">大変貴重な有機牛肉</span>を使用しています。牛たちは北海道の広大な土地で有機飼料により育てられています。<br>●<span id=""red"">たまねぎ、にんじん、にんにくは100%国産有機、トマトペーストは海外産有機</span>です。<br>●自社の<span id=""red"">有機ウスターソースと有機トマトケチャップ</span>を使用しています。<br>●でんぷんは<span id=""red"">国産有機ばれいしょ（遺伝子組み換えでない）から作った有機ばれいしょでんぷん</span>を使用しています。<br>●<span id=""red"">有機カレースパイス</span>を使用しています。<br>●砂糖は<span id=""red"">有機砂糖</span>を使用しています。<br>●食塩はシママースを使用しています。<br>●保存料、香料、着色料、化学調味料、増粘剤、たんぱく加水分解物、酵母エキスは使用していません。<br>★幅広い方にお召し上がりいただけるよう、程よい辛味の中辛口となっております。</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">▽有機キーマカレー</span></p>",阿波ツクヨミファーム,,"","",false,Title,Default Title,,,,,"",145.0,,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0515/4045/9679/products/140keema.jpg?v=1661772699,1,,false,,,,,,,,,,,,,,,g,,,true,draft
オーガニックぶどうジュース,オーガニックぶどうジュース,"<p data-mce-fragment=""1"">重量（目安）：総重量5.8kg（内容量1本160g×30本）</p>
<p data-mce-fragment=""1"">種別：有機JAS認定</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">賞味期限：1年6ヶ月</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">製造元：光食品株式会社</span></p>
<p data-mce-fragment=""1"">配送：<span data-mce-fragment=""1"">夏季常温便可</span><br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">（製造元メーカーHPより掲載）</span></p>
<p data-mce-fragment=""1""><strong>【有機赤ぶどう果汁と有機白ぶどう果汁をブレンドした、飲みやすくすっきりとした味わいの有機ぶどうジュースです。香料・酸味料は無添加】</strong></p>
<p data-mce-fragment=""1""><span>●</span><span id=""red"">海外産有機赤ぶどう果汁（コンコード果汁）と有機白ぶどう果汁を使用した、果汁100％（濃縮還元）の有機ぶどうジュース</span><span>です。</span><br><span>●白ぶどう果汁とブレンドすることにより、コンコード果汁の渋みを抑えて、すっきりとした味わいになっています。</span><br><span>●砂糖・香料、保存料、着色料、酸味料は使用していません。</span><br><span>★大人だけでなく、お子様にも美味しくお飲みいただける、すっきりとしたぶどうジュースです。</span></p>
<p data-mce-fragment=""1"">▽<span data-mce-fragment=""1"">オーガニックぶどうジュース</span></p>",阿波ツクヨミファーム,,"","",false,Title,Default Title,,,,,"",5800.0,,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0515/4045/9679/products/160budou.jpg?v=1661771169,1,,false,,,,,,,,,,,,,,,kg,,,true,draft
有機果実と野菜のジュース,有機果実と野菜のジュース,"<p>重量（目安）：総重量3.2kg（内容量1本190g×30本）※総重量が内容量と合わず。製造元へ要確認</p>
<p>種別：有機JAS認定</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">賞味期限：2年</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">製造元：光食品株式会社</span></p>
<p>配送：<span data-mce-fragment=""1"">夏季常温便可</span><br data-mce-fragment=""1""></p>
<p> </p>
<p><span>（製造元メーカーHPより掲載）</span></p>
<p><strong>【有機果実と有機野菜を使用し、有機果実の自然な甘みを生かした有機JAS認証のミックスジュース】</strong></p>
<p><span>●</span><span id=""red"">有機りんご・有機オレンジ・有機レモンに有機トマト・有機にんじん</span><span>をプラスしたミックスジュースです。</span><br><span>●</span><span id=""red"">にんじんは100%国産有機</span><span>です。</span><br><span>●砂糖、食塩は使用していません。</span><br><span>●香料、保存料、着色料、酸味料は使用していません。</span><br><span>★有機果実と有機野菜をミックスしているので、野菜の苦手なお子様でも飲みやすいミックスジュースです。</span></p>
<p>▽有機果実と野菜のジュース</p>",阿波ツクヨミファーム,,"","",false,Title,Default Title,,,,,"",3200.0,,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0515/4045/9679/products/190kajitutoyasai.jpg?v=1661770647,1,,false,,,,,,,,,,,,,,,kg,,,true,draft
ハーブティー-relax-and-reflesh-ブレンド,ハーブティー（Relax and Reflesh ブレンド）＊１５g,"<p data-mce-fragment=""1"">重量（目安）：30<span data-mce-fragment=""1"">g（内容量15g）</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">配送：常温配送可</span> </p>
<p>【身も心も穏やかになる贅沢なナチュラルハーブティー】</p>
<p><span data-mce-fragment=""1"">農薬・化学肥料を一切使わず、</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">自然栽培によって育てたナチュラルなハーブのみを贅沢に使ったハ</span><wbr data-mce-fragment=""1""><span data-mce-fragment=""1"">ーブティーです。</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">爽やかでフレッシュな香りが、</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">身も心も穏やかにしてくれます。</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">ホットでもアイスでも美味しくお召し上がりいただけます。</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">一杯あたりお好みによりティースプーン1杯ほど（1〜2g）でお</span><wbr data-mce-fragment=""1""><span data-mce-fragment=""1"">淹れください。</span></wbr></p>
<p><br data-mce-fragment=""1""><span data-mce-fragment=""1"">【ブレンドハーブ】</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">・レモングラス</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">・レモンバーム</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">・シナモンバジル</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">・トゥルシー（ホーリーバジル）</span><br></p>
<p><span data-mce-fragment=""1"">※妊娠中の方のご使用はお控えくださいませ。</span></p>
<p> </p>
<p><span data-mce-fragment=""1"">【保存方法】</span></p>
<p><span data-mce-fragment=""1"">高温多湿、直射日光を避け、暗所に保存してください。</span></p>
<p><span data-mce-fragment=""1"">また、開封後はお早めにお召し上がりください。</span></p>
<p> 【内容量】</p>
<p>15g</p>
<p><span data-mce-fragment=""1"">▽ハーブティー/レモングラス/レモンバーム/レモンバーベナ/シナモンバジル/トゥルシー/ホーリーバジル</span></p>",阿波ツクヨミファーム,食品・飲料 > 飲料 > お茶・紅茶,加工品・キノコ・その他,化学農薬化学肥料不使用,false,Title,Default Title,,,,,"",50.0,shopify,5,deny,manual,750,,true,true,"",https://cdn.shopify.com/s/files/1/0515/4045/9679/products/image1.jpg?v=1662357422,1,,false,,,,,,,,,,,,,,,g,,,true,draft
